feature,importance,importance_std,split_id,train_end,horizon,model
month,0.000156288755273426,0.00020901616726825816,1,2018-12-31,4,PLS
quarter,0.0004917468166529049,0.00011414206621965891,1,2018-12-31,4,PLS
week_sin,8.13256197329526e-07,2.429470322871761e-06,1,2018-12-31,4,PLS
week_cos,0.00020847628939370532,0.00010552821863578673,1,2018-12-31,4,PLS
HospRisk_lag1,0.000320730112576012,0.0002469676287684544,1,2018-12-31,4,PLS
HospRisk_lag2,5.226884683241506e-05,6.921931566655891e-05,1,2018-12-31,4,PLS
HospRisk_lag4,-6.559076232706684e-05,5.054017488201205e-05,1,2018-12-31,4,PLS
HospRisk_lag8,-0.00012411899392990587,6.397747969722082e-05,1,2018-12-31,4,PLS
HospRisk_lag12,0.00010644677429501593,8.39089747298613e-05,1,2018-12-31,4,PLS
HospRisk_lag24,-4.0959852345529014e-05,5.040256406202697e-05,1,2018-12-31,4,PLS
HospRisk_lag52,0.00022705584347165186,0.00018607620448001037,1,2018-12-31,4,PLS
HospRisk_rollmean12,0.00017871381540548458,0.00016225759264223522,1,2018-12-31,4,PLS
HospRisk_rollmean24,0.0007550653633087212,0.0003384361778111128,1,2018-12-31,4,PLS
HospRisk_rollmean52,0.027994380321381344,0.0020187672701320178,1,2018-12-31,4,PLS
HospRisk_ewm12,0.00030823094418725995,0.00019448810621959243,1,2018-12-31,4,PLS
HospRisk_ewm24,0.0001704975424242472,0.00015343752859277543,1,2018-12-31,4,PLS
HospRisk_ewm52,0.00035822746552059416,0.00022287163054550763,1,2018-12-31,4,PLS
year,0.0,0.0,1,2018-12-31,4,XGBoost
month,0.0002766593638453607,0.000150331385959984,1,2018-12-31,4,XGBoost
quarter,0.0,0.0,1,2018-12-31,4,XGBoost
week_sin,-0.00028696452833182893,0.00035357093855397666,1,2018-12-31,4,XGBoost
week_cos,0.001481583508405826,0.000547042970156569,1,2018-12-31,4,XGBoost
HospRisk_lag1,0.0008197497877728388,0.000536256990594589,1,2018-12-31,4,XGBoost
HospRisk_lag2,-0.0003205703512616953,0.00012562946207802185,1,2018-12-31,4,XGBoost
HospRisk_lag4,-1.3034102240783162e-05,0.0002352097577518148,1,2018-12-31,4,XGBoost
HospRisk_lag8,-2.806768092038503e-05,0.0002323554967017811,1,2018-12-31,4,XGBoost
HospRisk_lag12,4.085850172528271e-05,0.0003200361850224586,1,2018-12-31,4,XGBoost
HospRisk_lag24,-0.00031661229264373094,0.000719543723050762,1,2018-12-31,4,XGBoost
HospRisk_lag52,0.00032152878057855607,0.000373839566885814,1,2018-12-31,4,XGBoost
HospRisk_rollmean12,0.000667198447837275,0.00020576818866688916,1,2018-12-31,4,XGBoost
HospRisk_rollmean24,0.004806474650323078,0.0007809300317286255,1,2018-12-31,4,XGBoost
HospRisk_rollmean52,0.02009552475777055,0.002506760274300698,1,2018-12-31,4,XGBoost
HospRisk_ewm12,0.01605801631909551,0.0011863364581253385,1,2018-12-31,4,XGBoost
HospRisk_ewm24,0.00037774864283013354,0.0002671746888537989,1,2018-12-31,4,XGBoost
HospRisk_ewm52,0.01655752848254637,0.0011324502171207703,1,2018-12-31,4,XGBoost
year,0.0,0.0,1,2018-12-31,4,LightGBM
month,9.271892018508087e-05,0.00019010725967728774,1,2018-12-31,4,LightGBM
quarter,0.0,0.0,1,2018-12-31,4,LightGBM
week_sin,4.627423580539913e-05,0.00019383579296171526,1,2018-12-31,4,LightGBM
week_cos,0.001308255721326168,0.00043435335782740964,1,2018-12-31,4,LightGBM
HospRisk_lag1,-0.00023657547241302536,0.0002973550851574963,1,2018-12-31,4,LightGBM
HospRisk_lag2,-0.00037004869248938863,0.00032466565631512884,1,2018-12-31,4,LightGBM
HospRisk_lag4,-0.00036377055279671056,0.0003057412003322741,1,2018-12-31,4,LightGBM
HospRisk_lag8,-0.00016000642832401658,0.00014535562130310635,1,2018-12-31,4,LightGBM
HospRisk_lag12,0.0008224893620995766,0.00018807245216825625,1,2018-12-31,4,LightGBM
HospRisk_lag24,-0.0006667631922179451,0.0004130117092036486,1,2018-12-31,4,LightGBM
HospRisk_lag52,4.650700664171614e-05,0.0002661626280703208,1,2018-12-31,4,LightGBM
HospRisk_rollmean12,-3.343549162645454e-05,0.0003062966385781321,1,2018-12-31,4,LightGBM
HospRisk_rollmean24,0.0011459329798662043,0.00016417042107421117,1,2018-12-31,4,LightGBM
HospRisk_rollmean52,0.017166392777934136,0.0021195913391068625,1,2018-12-31,4,LightGBM
HospRisk_ewm12,0.00033306110028279433,0.0001312702331399955,1,2018-12-31,4,LightGBM
HospRisk_ewm24,0.00020205204492078078,0.00018598075663482918,1,2018-12-31,4,LightGBM
HospRisk_ewm52,0.003981307633648895,0.000551108558476923,1,2018-12-31,4,LightGBM
year,0.0,0.0,1,2018-12-31,4,CatBoost
month,-9.562046165379479e-05,3.638256546985214e-05,1,2018-12-31,4,CatBoost
quarter,5.3630638342239134e-05,3.376480498790625e-05,1,2018-12-31,4,CatBoost
week_sin,1.4629035855434624e-05,0.00020821727791343477,1,2018-12-31,4,CatBoost
week_cos,0.0007432540465537096,0.00037602110542640695,1,2018-12-31,4,CatBoost
HospRisk_lag1,-6.148952790729911e-06,0.00025288985351253063,1,2018-12-31,4,CatBoost
HospRisk_lag2,-6.978744145456073e-05,0.00011357627746165718,1,2018-12-31,4,CatBoost
HospRisk_lag4,-3.101618949404861e-05,0.00011673415884058345,1,2018-12-31,4,CatBoost
HospRisk_lag8,-0.0002441379605103877,0.0002773499533658983,1,2018-12-31,4,CatBoost
HospRisk_lag12,0.00016680495729836652,0.00028509911617179476,1,2018-12-31,4,CatBoost
HospRisk_lag24,-0.0005585958900617971,0.0001559793380112002,1,2018-12-31,4,CatBoost
HospRisk_lag52,0.00035828466217219246,9.158304617121826e-05,1,2018-12-31,4,CatBoost
HospRisk_rollmean12,0.0001345451455853075,8.143218623853213e-05,1,2018-12-31,4,CatBoost
HospRisk_rollmean24,0.00045510503577509407,9.916685896371646e-05,1,2018-12-31,4,CatBoost
HospRisk_rollmean52,0.008873572685619913,0.0012725775679783514,1,2018-12-31,4,CatBoost
HospRisk_ewm12,0.0005065578709341822,0.00023996145893592,1,2018-12-31,4,CatBoost
HospRisk_ewm24,0.000479037378922631,0.00017704651027656605,1,2018-12-31,4,CatBoost
HospRisk_ewm52,0.004066940174694322,0.00041364526413218284,1,2018-12-31,4,CatBoost
year,0.0,0.0,1,2018-12-31,13,Ridge
month,0.002133353727785553,0.0001455994864335194,1,2018-12-31,13,Ridge
quarter,0.004475549331048695,0.0003819477108712465,1,2018-12-31,13,Ridge
week_sin,0.0018316920401229898,0.0003198414795564803,1,2018-12-31,13,Ridge
week_cos,0.0004673594435935402,9.138685452035761e-05,1,2018-12-31,13,Ridge
HospRisk_lag1,0.00025352540407787006,0.0001600716178507338,1,2018-12-31,13,Ridge
HospRisk_lag2,-7.126558113533243e-05,5.4987899532839025e-05,1,2018-12-31,13,Ridge
HospRisk_lag4,1.833745970463152e-05,0.00011575947188959947,1,2018-12-31,13,Ridge
HospRisk_lag8,-7.231386290336706e-05,4.9367088820525753e-05,1,2018-12-31,13,Ridge
HospRisk_lag12,1.0702450914745753e-05,1.665687037339449e-05,1,2018-12-31,13,Ridge
HospRisk_lag24,5.134321967242838e-06,2.213127870621861e-05,1,2018-12-31,13,Ridge
HospRisk_lag52,0.00012282772682858933,4.873221103120347e-05,1,2018-12-31,13,Ridge
HospRisk_rollmean12,0.004317782370523743,0.0004814841256730433,1,2018-12-31,13,Ridge
HospRisk_rollmean24,0.0008505537638321625,0.0001532496881885592,1,2018-12-31,13,Ridge
HospRisk_rollmean52,0.061519478193877083,0.0012671751716521633,1,2018-12-31,13,Ridge
HospRisk_ewm12,0.0005547861926396946,0.00020155401121002512,1,2018-12-31,13,Ridge
HospRisk_ewm24,0.05626190397330923,0.0017487223017525575,1,2018-12-31,13,Ridge
HospRisk_ewm52,0.0011721925914149778,0.00015535700065552895,1,2018-12-31,13,Ridge
year,0.0,0.0,1,2018-12-31,13,Lasso
month,0.0,0.0,1,2018-12-31,13,Lasso
quarter,0.00034207600710370876,0.0001337136048386926,1,2018-12-31,13,Lasso
week_sin,0.0011521794029409338,0.0002469756620983294,1,2018-12-31,13,Lasso
week_cos,0.00047794377392820775,9.079105836000995e-05,1,2018-12-31,13,Lasso
HospRisk_lag1,-5.1258167309015115e-05,6.662053608682545e-05,1,2018-12-31,13,Lasso
HospRisk_lag2,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_lag4,0.0,0.0,1,2018-12-31,13,Lasso
HospRisk_lag8,0.0,0.0,1,2018-12-31,13,Lasso
